id,text,created_at,lang
1529696017431826432,르세라핌 김채원 사쿠라 포카 팝니다 아이즈원 때 공식 기 부터 앨범 트레카 등 다 있습니다 원하는거 표시해서 가격 제시해서 연락 편하게 주세요 여러개 사시는 분 우대합니다  ㅅㅊㅇ 아이즈원 원릴러 비올레타 피노라마 르세라핌 김채원 채원 사쿠라 피얼리스 카즈하 홍은채 ,2022-05-26 05:28:45+00:00,ko
1529695763881525248, 르세라핌 포카 양도합니다  르세라핌 미공포 위버스샵 사운드웨이브 파워스테이션 네이버 쇼핑라이브 뮤직플랜트 lesserafim 사쿠라 김채원 카즈하 홍은채 허윤진 김가람 공방 poca sell GARAM YUNJIN KAZUH…,2022-05-26 05:27:45+00:00,ko
1529695383567613952, 르세라핌 넘무 잘해요 ,2022-05-26 05:26:14+00:00,ko
1529695248775262208, 안방열직캠 르세라핌  FEARLESS   인기가요 르세라핌 LESSERAFIM FEARLESS lesserafim  사쿠라  카즈하 …,2022-05-26 05:25:42+00:00,ko
1529695241636220929, 르세라핌 포카 특전 럭드 엽서 양도합니다  SELL LESSERAFIM Photocards   르세라핌 LE SSERAFIM pc 사쿠라 김채원 허윤진 카즈하 김가람 홍은채 분철 분할 양도 교환 포카 럭키…,2022-05-26 05:25:40+00:00,ko
1529694979899019265,아이즈원 포카 양도 은비 채원 예나 나코 유진 혜원 민주 히토미 권은비 김채원 최예나 야부키 나코 안유진 강혜원 김민주 혼다 히토미 라비앙로즈 비올레타 피에스타 르세라핌,2022-05-26 05:24:38+00:00,ko
1529694801414991872,위클리 스테이씨 케플러 이달의소녀 르세라핌 에스파 아이브 최예나 몬스타엑스 엔믹스 엔시티 엔하이픈 더보이즈 에이티즈 세븐틴 빌리 BTS 스키즈 투바투 앙스타 주술회전 명함 학생증 글라스 웨하스 메탈 카드 파샤코레 포토카드 폴라로이드 탑로더 탑꾸 커미션 콜북 스티커 양도 알티 팔로우이벤트 ,2022-05-26 05:23:55+00:00,ko
1529694764244688896, 르세라핌 포카 포토카드 양도해요 wts lfb LE SSERAFIM photocard yangdo FEARLESS pc sell  앨포 럭드 특전 양도 준등기   lesserafim showcase presen…,2022-05-26 05:23:46+00:00,ko
1529694617184403456, 안방열 직캠K 르세라핌 카즈하 FEARLESS LE SSERAFIM KAZUHA FanCam│SBS Inkigay   YouTube …,2022-05-26 05:23:11+00:00,ko
1529694550197141504,위클리 스테이씨 케플러 우주소녀 이달의소녀 르세라핌 에스파 아이들 아이브 최예나 몬스타엑스 엔믹스 엔시티 엔하이픈 더보이즈 에이티즈 세븐틴 빌리 BTS 스키즈 투바투 앙스타 주술회전 명함 학생증 글라스 웨하스 메탈 카드 파샤코레 포토카드 폴라로이드 탑로더 탑꾸 커미션 콜북 스티커 양도 ,2022-05-26 05:22:55+00:00,ko
1529694439635308551,아이즈원 스테이씨 케플러 우주소녀 레드벨벳 르세라핌 에스파 아이들 아이브 최예나 몬스타엑스 엔믹스 엔시티 엔하이픈 더보이즈 에이티즈 세븐틴 빌리 BTS 스키즈 투바투 앙스타 주술회전 명함 학생증 글라스 웨하스 메탈 카드 파샤코레 포토카드 폴라로이드 탑로더 탑꾸 커미션 콜북 스티커 양도 ,2022-05-26 05:22:29+00:00,ko
1529694420953874432,  르세라핌 예림당아트홀 팬싸 채원  똘망똘망 아이컨택 해주는 귀요미  LESSERAFIM 르세라핌 CHAEWON 채원 ,2022-05-26 05:22:24+00:00,ko
1529694191726383104, 르세라핌 포토카드 양도해요 LE SSERAFIM 사쿠라 김채원 허윤진 김가람 카즈하 홍은채 photocard sakura kim chaewon huh yunjin kazuha  kim garam hong eunch…,2022-05-26 05:21:30+00:00,ko
1529693982225182720,르세라핌 홍은채 공방 포카 양도합니다  이상 제시해주세요 쿨거가  BUY  SELL   ㅅㅊㅇ LE SSERAFIM 미야와키 사쿠라 김채원 허윤진 나카무라 카즈하 김가람 양도 교환 구해요 받아요 포토카드 공개방송 뮤직뱅크 인기가요 ,2022-05-26 05:20:40+00:00,ko
1529693746648035328, 여러분 르세라핌이 드디어 오늘 데뷔 했습니다 저회 데뷔를 함께 해주셔서 감사합니다 앞으로 열심히 하겠습니다 꼭 만나요 ,2022-05-26 05:19:44+00:00,ko
1529693720609796096, 드디어 르세라핌 데뷔  우리 짱세라핌 영원히 사랑해주기…  약속 앞으로 자주 볼수 있으면 좋겠어용 ㅎㅎ 우리 많은 콘텐츠 나오니까 여러분 화이팅이요 ㅎㅎ ,2022-05-26 05:19:37+00:00,ko
1529693602577674240,르세라핌 카즈하 포카 양도받아요  buy sell   한국 주소 계정  디엠으로 가격 알려주세요  채원 사쿠라 카즈하 윤진 가람 은채 ,2022-05-26 05:19:09+00:00,ko
1529693587964928000, 르세라핌 데뷔했다 ,2022-05-26 05:19:06+00:00,ko
1529693313162690560,르세라핌 팬싸컷  문의받습니다 가격   마감까지 컷 제대로 봐드려요      르세라핌 LESSERAFIM,2022-05-26 05:18:00+00:00,ko
1529693308322295808, 하이브에서 데뷔하는 첫 걸그룹  르세라핌의 데뷔를 기다리시는 팬 여러분 오늘부터 위버스 에서 르세라핌 을 응원해 보세요  멤버 공개부터 데뷔를 비롯한 앞으로의 활동 소식을 위버스를 통해 전할 예정입니…,2022-05-26 05:17:59+00:00,ko
1529693268522328064, 르세라핌 위버스 특전포카 양도  위버스 특전 홀로그램첫번째줄 사쿠라 채원 카즈하   윤진 가람 은채    위버스 특전 일반두번째줄 사쿠라 채원   윤진 가람 은채    준등기 …,2022-05-26 05:17:50+00:00,ko
1529693130512945157, 르세라핌 위했어요  정말 생각치도 못했는데 위 할 수 있게 해준 팬분들 너무너무 감사합니다 팬분들 앞에서 자랑스럽게 위할 수 있어서 더욱 행복했어요 앞으로 더 열심히 하고싶다고도 느끼고 여러가지 감정이 느껴…,2022-05-26 05:17:17+00:00,ko
1529693059373379584,르세라핌 Tou 중국 미공포 포카 양도합니다   LE SSERAFIM China photo cards Sell  일관 장   지금 세트 있어요  김채원  윤진  ,2022-05-26 05:17:00+00:00,ko
1529693010421682176,악 저번에 비싸게 샀는데 할인이네ㄷㄷ  내일 두시 까지만 할인인거 같네요ㅋ   르세라핌 앨범 피어리스 미니 집 FEARLESS 종세트  상세정보    파트너스 활동을 통해 일정액의 수수료를 제공받을 수 있음  위 링크 막히면 알려주기,2022-05-26 05:16:48+00:00,ko
1529692802442883072,쇼챔직캠 K LE SSERAFIM  FEARLESS 르세라핌  피어리스 l Show Champion l EP ,2022-05-26 05:15:59+00:00,ko
1529692787393761281,르세라핌 위버스 특전 홀로그램 단체 렌티쿨러 포토카드 포카 액자 종 양도 LESSERAFIM ,2022-05-26 05:15:55+00:00,ko
1529692491330465793, 방탄 군면제 지민 압류돌 논란 성범죄 논란인물 정바비 곡 새앨범 수록 르세라핌 김가람 학폭 하이브의 다수 악재 속 대중의 비난여론 거세질때 저질퀄 뽀샵사진으로 촉발된 가짜 열애설이 기사도배댓글작업성명문실트…,2022-05-26 05:14:44+00:00,ko
1529691250206855169,우릴위해웃던르세라핌이라는천사들 쌈쿠라르세라핌  르세라핌♡대박나세요♡ 아이즈원♡포에버♡ ,2022-05-26 05:09:48+00:00,ko
1529690819598290944,르세라핌 데뷔 쇼케이스 쇼케 웰컴 키트 포카 양도  준등포 또는 반택포   김채원    영상 다른 문구 적어 재 인증 ,2022-05-26 05:08:06+00:00,ko
1529690105564106752,꒰ wtsth ꒱ 르세라핌 양도  LE SSERAFIM KPOPMERCH BENEFIT   배송료는 상품이 내 손에 닿았을 때 징수됩니다  kazuha chaewon sakura yunjin  ㅅㅊㅇ 르세라핌 르세라핌 럭드 홍은채 김채원 허윤진 카즈하 김가람 사쿠라 포카 분철 양도 pc poca photo sell ,2022-05-26 05:05:16+00:00,ko
1529689829155348481, 르세라핌의 학교폭력 논란 등으로 주가 눈높이를 지속적으로 낮추고 있다가수 정바비의 곡Filter을 실으면서 일을 키웠다 필터는 년 월 발매된 멤버 지민의 솔로곡  …,2022-05-26 05:04:10+00:00,ko
1529689618312200193, 완전체 활동 포기 르세라핌·하이키 자충수가 될 수 있는 반전의 카드   자충수 a move which fills ones own liberties a metaphorical saying that one…,2022-05-26 05:03:19+00:00,ko
1529689503136632833,  르세라핌 사운드웨이브 팬싸    르세라핌 윤진 허윤진 ,2022-05-26 05:02:52+00:00,ko
1529689308298637312,르세라핌 김채원  파워 아이돌 美  포토  연예 르세라핌 김채원 ,2022-05-26 05:02:06+00:00,ko
1529689245031763968,르세라핌 사쿠라카즈하  같은 日 출신→극과 극 매력  포토  연예 르세라핌 사쿠라카즈하 ,2022-05-26 05:01:50+00:00,ko
1529689030526312448,  르세라핌 사쿠라 찌릿 꾸라 ㅋㅋㅋ ,2022-05-26 05:00:59+00:00,ko
1529688872874958848,르세라핌의 학교폭력 논란 등으로 주가 눈높이를 지속적으로 낮추고 있다가수 정바비의 곡Filter을 실으면서 일을 키웠다 필터는 년 월 발매된 멤버 지민의 솔로곡    정바비수록곡삭제해  정바비filterout  chungbobbyout garamOUT  boycotthybe,2022-05-26 05:00:22+00:00,ko
1529688585351593985,르세라핌  人 체제 활동에도 밝은 분위기  포토  연예 르세라핌  人 ,2022-05-26 04:59:13+00:00,ko
1529688563108917248,르세라핌 피어리스 앨범 포카 양도합니다 윤진  예민하신분 sell poca인증 에눌 ㅅㅊㅇ lesserafim 채원 사쿠라 카즈하 윤진 가람 은채 위버스 미공포 럭드 공방 포카 뮤뱅 특전 쇼케이스 이즈위 일본 라자다 쇼핑라이브 교환 팬싸 영통 사웨 album fearless ,2022-05-26 04:59:08+00:00,ko
1529687818779299841,아이즈원 포카 양도 하자 디엠 문의주시면 보여드려요 그 외 미세하자 있을수도 있습니다  르세라핌 아이브 채원 원영 히토미 민주 은비 예나 증사 ,2022-05-26 04:56:10+00:00,ko
1529698514691043328,하이브 인사이트 앨범 미개봉 대리구매 댈구 양도 HYBE INSIGHT ALBUM OFFLINE proof NOT SCAM  go to store  SEVENTEEN 세븐틴 TXT 투바투 ENHYPEN 엔하이픈 setalbumrandom pc bulk order discount  Original priceproxy fee If you want to buy please DM ,2022-05-26 05:38:40+00:00,ko
